,comp_name,job_location,job_summary,job_title,listed_job_salary,salary_estimated
79,[24]7,"San Jose, CA",Analyze application data. The Data Scientist will be responsible for continually improving 24/7’s premier voice applications....,Data Scientist,,60000.0
80,Stryker,"Fremont, CA 94538 (Irvington area)","Experience with study design and data analysis. Generate statistical summary tables, patient data listings, and reports using SAS....",Biostatistician/Statistical Programmer,,60000.0
81,Activision,"Foster City, CA",And data transformations. Strong data visualization and. Scientist with strong analytical skills. Data visualizations and integrating with analytics APIs....,"Data Scientist - Foster City, CA",,60000.0
82,Veeva,"Pleasanton, CA",Combine your love and knowledge of quantitative data analysis across large data sets with solid presentation skills Use statistical methods to derive new...,Data Scientist - Deep Learning,,60000.0
83,"Neustar, Inc.","Los Angeles, CA","Manage data collection from clients, data review and quality checks of incoming data to ensure high quality data is used in database processing....",Marketing Data Consultant,,60000.0
84,Mode,"San Francisco, CA","Comfort with SQL and web-based technologies—You don't need be an engineer or data scientist, but you should know how to write a query and comfortable learning...",Customer Support Analyst,,60000.0
85,"Voyant Advisors, LLC","San Diego, CA 92130","Candidates must apply through Indeed, any candidate that calls Voyant directly will be immediately disqualified. Job Description We are seeking to hire...",Equity Research Analyst,"$60,000 - $90,000 a year",60000.0
86,University of San Francisco,"San Francisco, CA 94117 (Haight-Ashbury area)","As a member of the Data Governance Committee, collaborate with co-chairs to establish a data dictionary and manage the usability, integrity, availability and...","Institutional Data Analyst, Office of Institutional Research & Analytics",,60000.0
87,Jobspring Partners,"San Jose, CA 95113 (Downtown area)","Some work with Big Data technologies (Spark). 2 + years of experience in Data Science. At the moment, they are looking to further build their company and want...",Junior Data Scientist,"$120,000 - $150,000 a year",60000.0
88,Esurance,"San Francisco, CA",Extensive experience in data management and data scrubbing. Technical mentoring for junior data scientists in the team while owning independent deliverables....,Sr Data Scientist,,60000.0
89,Wells Fargo,"San Francisco, CA","Experience in the retirement and DC markets, and/or in ESG investing and data preferred Exceptional quantitative, technical and analytical skills Strong...",Quantitative Research Analyst-Strategic Business Segments,,60000.0
90,Apex Life Sciences,"South San Francisco, CA 94080","Experience in high-throughput data analysis, visualization, and interpretation. Our work is at the intersection of multiple disciplines including data science,...",Computational Biologist (Bioinformatics),,60000.0
91,Roku,"Los Gatos, CA","Roku pioneered streaming for the TV, and we aspire to power every TV in the world. We believe that all television will be streamed, and that all TVs and set...","Software Engineer, Search & Recommendations (Machine Learning)",,60000.0
92,Databricks,"San Francisco Bay Area, CA","Design and lead data scientists to build data warehouse, data analysis notebooks and dashboards, and internal data products that help extract value from our own...",Lead Data Scientist,,60000.0
93,McAfee,"Santa Clara, CA 95052",Monitor existing data processing Workflows and Reports. Strong knowledge on Data warehouse concepts and Architectures....,BI Associate,,60000.0
94,GfK,"San Francisco, CA 94104 (Financial District area)","A willingness to dive into large, complex data sets to create unique, actionable analysis for our clients. Analyzing competitive dynamics within the wireless...",Semiconductor Research Analyst,,60000.0
95,Accenture,"San Diego, CA",Data Scientist Specialist. Core Data Scientist team. Data Scientists are expected to collaborate. Data Scientists in Operations follow multiple approaches....,Data Scientist Specialist,,60000.0
96,Stitch Fix,"San Francisco, CA","As a member of the analytics engineering team, you’ll be enabling our data scientists by contributing toward a clear, concise data model as well as enabling our...",Analytics Engineer - Client Algorithms,,60000.0
97,Jobspring Partners,"San Jose, CA 95113 (Downtown area)",Experience with big data tech such as Spark or Kafka. A cyber security start up located in Mountain View is looking to bring on a Junior Data Scientist and is...,Junior Data Scientist (Security Space),"$120,000 - $150,000 a year",60000.0
98,Amgen,"Thousand Oaks, CA 91320","Amgen’s Attribute Sciences group within Process Development is seeking an Associate Scientist for a position based at their Thousand Oaks, CA site....",Associate scientist,,60000.0
99,Guardant Health,"Redwood City, CA","Excellent data analysis skills, including development of novel / custom algorithms for interpretation of NGS data....","Bioinformatics Scientist, BioPharma Collaborations",,60000.0
100,Ursus Incorporated,"Fremont, CA","And data acquisition equipment. Test and operate experimental equipment, and execute experiments, according to standard procedures or written instructions, in...",Senior Laser Technician,"$120,000 a year",60000.0
101,Xencor,"Monrovia, CA 91016","Associate Scientist, Pharmacokinetics. High competence in common software and data analysis packages (eg, Microsoft Office Suite, SoftMax Pro, GraphPad Prism,...","Associate Scientist, Pharmacokinetics",,60000.0
102,"Integrated Management Resources, LLC","San Francisco, CA",Enterprise Data and Client Insight office works collaboratively with business and Information Technology to manage engagements and lead teams of data analysis...,Data Scientist-San Francisco,,60000.0
103,Caspar.AI,"Redwood City, CA","Data structures, algorithms, distributed systems, and information retrieval. It was co-founded by Ashutosh Saxena (CEO) and David Cheriton (Chief Scientist)....",Software Engineer - Generalist,,60000.0
104,Guardant Health,"Redwood City, CA","Scientist to help develop, test and validate novel technologies for rare variant studies with next-generation sequencing....","Sr Scientist, Technology Development",,60000.0
105,Beckman Coulter - Diagnostics,"Brea, CA",Follow standard practices and procedures in analyzing situations or data from which answers can be readily obtained....,Package Engineer,,60000.0
106,CH2M,"San Diego, CA 92101","Demonstrates cartographic, data management, and analytical skills. Experience creating, editing, converting, and managing GIS data....","GIS Professional - San Diego, CA",,60000.0
107,Engility Corporation,"San Bernardino, CA 92408","Update models based on designs, test results, and other data. Engility is looking for experienced and highly motivated engineers to join our team of rocket...","Guidance, Navigation & Control Engineer",,60000.0
108,Physical Optics,"Torrance, CA","Level engineers and scientists developing novel solutions for the DoD, DOE, NASA, and other federal agencies....",Business Development Administrator,,60000.0
109,BOEING,"El Segundo, CA 90245","Skilled scientists and thinkers. Attitude Control Subsystem (ACS), Autonomy System (AS), Command and Data Handling Subsystem (C&DH) and Mission Systems...",Satellite Flight Systems Engineer,"Estimated salary: $99,000 - $126,000 a year",60000.0
