,comp_name,job_location,job_summary,job_title,listed_job_salary,salary_estimated
1493,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal...,"Data Scientist, Population and Survey Sciences",,80000.0
1494,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing....",Firmware Data Scientist,,80000.0
1495,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis....",Sr. Data Scientist,,80000.0
1496,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies....,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1497,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation....","VF Corporation: Director, Digital Analytics",,80000.0
1498,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with...,"Lead Instructor, Principal Data Scientist",,80000.0
1499,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important...",Senior Data Scientist,,80000.0
1500,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning...",Remote Sensing Scientist,,80000.0
1501,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data...","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1502,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal... read more,"Data Scientist, Population and Survey Sciences",,80000.0
1503,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing.... read more",Firmware Data Scientist,,80000.0
1504,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis.... read more",Sr. Data Scientist,,80000.0
1505,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies.... read more,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1506,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation.... read more","VF Corporation: Director, Digital Analytics",,80000.0
1507,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with... read more,"Lead Instructor, Principal Data Scientist",,80000.0
1508,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important... read more",Senior Data Scientist,,80000.0
1509,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning... read more",Remote Sensing Scientist,,80000.0
1510,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data... read more","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1511,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing....",Firmware Data Scientist,,80000.0
